--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
235.681  000.160  000.100: require('nvim-tree.utils')
235.688  000.364  000.088: require('nvim-tree.view')
235.909  000.055  000.055: require('nvim-tree.core')
236.031  000.058  000.058: require('nvim-tree.git.utils')
236.085  000.053  000.053: require('nvim-tree.renderer.components.devicons')
236.195  000.052  000.052: require('nvim-tree.classic')
236.198  000.112  000.060: require('nvim-tree.node')
236.246  000.336  000.113: require('nvim-tree.node.directory')
236.248  000.447  000.056: require('nvim-tree.actions.finders.find-file')
236.350  000.102  000.102: require('nvim-tree.actions.finders.search-node')
236.352  000.606  000.057: require('nvim-tree.actions.finders')
236.538  000.059  000.059: require('nvim-tree.node.file')
236.540  000.115  000.056: require('nvim-tree.actions.fs.create-file')
236.656  000.058  000.058: require('nvim-tree.lib')
236.772  000.053  000.053: require('nvim-tree.node.link')
236.829  000.172  000.118: require('nvim-tree.node.directory-link')
236.832  000.291  000.062: require('nvim-tree.actions.fs.remove-file')
236.915  000.082  000.082: require('nvim-tree.actions.fs.rename-file')
236.977  000.061  000.061: require('nvim-tree.actions.fs.trash')
236.983  000.630  000.081: require('nvim-tree.actions.fs')
237.162  000.059  000.059: require('nvim-tree.diagnostics')
237.164  000.117  000.058: require('nvim-tree.actions.moves.item')
237.219  000.053  000.053: require('nvim-tree.actions.moves.parent')
237.273  000.053  000.053: require('nvim-tree.actions.moves.sibling')
237.274  000.290  000.067: require('nvim-tree.actions.moves')
237.400  000.072  000.072: require('nvim-tree.actions.node.file-popup')
237.474  000.072  000.072: require('nvim-tree.actions.node.open-file')
237.528  000.053  000.053: require('nvim-tree.actions.node.run-command')
237.586  000.057  000.057: require('nvim-tree.actions.node.system-open')
237.639  000.053  000.053: require('nvim-tree.actions.node.buffer')
237.641  000.366  000.059: require('nvim-tree.actions.node')
237.754  000.059  000.059: require('nvim-tree.actions.root.change-dir')
237.809  000.053  000.053: require('nvim-tree.actions.root.dir-up')
237.810  000.169  000.057: require('nvim-tree.actions.root')
237.931  000.058  000.058: require('nvim-tree.actions.tree.find-file')
238.042  000.056  000.056: require('nvim-tree.actions.tree.modifiers.collapse-all')
238.099  000.056  000.056: require('nvim-tree.actions.tree.modifiers.expand-all')
238.101  000.169  000.057: require('nvim-tree.actions.tree.modifiers')
238.155  000.053  000.053: require('nvim-tree.actions.tree.open')
238.210  000.054  000.054: require('nvim-tree.actions.tree.toggle')
238.263  000.052  000.052: require('nvim-tree.actions.tree.resize')
238.264  000.452  000.066: require('nvim-tree.actions.tree')
238.265  002.576  000.062: require('nvim-tree.actions')
238.283  003.146  000.143: require('nvim-tree')
238.388  000.057  000.057: require('nvim-tree.legacy')
239.393  000.085  000.085: require('nvim-tree.keymap')
239.519  000.125  000.125: require('nvim-tree.appearance')
241.236  000.083  000.083: require('nvim-tree.buffers')
241.494  000.155  000.155: require('nvim-tree.git.runner')
